product,year,month,campaign,seasonality,quantity,quarter,month_sin,month_cos,quarter_sin,quarter_cos,quantity_lag1,quantity_lag2,quantity_lag3,quantity_lag4,quantity_lag6,quantity_lag12,quantity_ma3,quantity_std3,quantity_min3,quantity_max3,quantity_ma6,quantity_std6,quantity_min6,quantity_max6,quantity_ma9,quantity_std9,quantity_min9,quantity_max9,quantity_ma12,quantity_std12,quantity_min12,quantity_max12,quantity_ewm3,quantity_ewm6,quantity_ewm12,quantity_volatility3,quantity_volatility6,quantity_stability_3,quantity_stability_6,trend,trend_norm,trend_squared,trend_cubed,quantity_pct_change,quantity_pct_change_smooth,quantity_diff,quantity_diff2,is_high_season,is_low_season,is_holiday_season,is_summer,is_winter,quantity_yoy,yoy_diff,yoy_growth,campaign_season_interaction,campaign_season,campaign_month,seasonality_month,campaign_high_season,seasonality_summer,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,quarter_1,quarter_2,quarter_3,quarter_4
BOMBOM MORANGUETE 13G 160UN,2021,1,0,0,12132.0,1.0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,12132.0,12132.0,12132.0,12132.0,12132.0,12132.0,12132.0,223.43867178713765,12132.0,12132.0,12132.0,223.43867178713765,12132.0,12132.0,12132.0,223.43867178713765,12132.0,12132.0,12132.0,223.43867178713765,12132.0,12132.0,12132.0,12132.0,12132.0,0.01818053398615196,0.01818053398615196,223.43867178713765,223.43867178713765,0,0.0,0,0,0.026045994065281963,0.026045994065281963,315.9899999999998,6819.02,0,1,1,0,1,12132.0,7055.0,0.5815199472469502,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
BOMBOM MORANGUETE 13G 160UN,2021,2,0,0,12447.99,1.0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,12132.0,12132.0,12132.0,12132.0,12132.0,12132.0,12289.994999999999,223.43867178713765,12132.0,12447.99,12289.994999999999,223.43867178713765,12132.0,12447.99,12289.994999999999,223.43867178713765,12132.0,12447.99,12289.994999999999,223.43867178713765,12132.0,12447.99,12289.994999999999,12222.282857142858,12180.613846153847,0.01818053398615196,0.01818053398615196,223.43867178713765,223.43867178713765,1,0.01818181818181818,1,1,0.026045994065281963,0.026045994065281963,315.9899999999998,6819.02,0,1,0,0,1,12132.0,7055.0,0.5815199472469502,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
BOMBOM MORANGUETE 13G 160UN,2021,3,0,0,19583.0,1.0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,12447.99,12132.0,12132.0,12132.0,12132.0,12132.0,14720.996666666666,4213.581579847878,12132.0,19583.0,14720.996666666666,4213.581579847878,12132.0,19583.0,14720.996666666666,4213.581579847878,12132.0,19583.0,14720.996666666666,4213.581579847878,12132.0,19583.0,15936.4975,14325.344897959185,13319.4424852071,0.2862293685174766,0.2862293685174766,4213.581579847878,4213.581579847878,2,0.03636363636363636,4,8,0.5731857111067731,0.2996158525860275,7135.01,6819.02,0,1,0,0,0,12132.0,7055.0,0.5815199472469502,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
BOMBOM MORANGUETE 13G 160UN,2021,4,0,0,18650.0,2.0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,19583.0,12447.99,12132.0,12132.0,12132.0,12132.0,16893.663333333334,3878.225211360648,12447.99,19583.0,15703.2475,3961.7479246360863,12132.0,19583.0,15703.2475,3961.7479246360863,12132.0,19583.0,15703.2475,3961.7479246360863,12132.0,19583.0,17293.24875,15560.960641399419,14139.5282567137,0.2295668579891976,0.25228844700028363,3878.225211360648,3961.7479246360863,3,0.05454545454545454,9,27,-0.04764336414236836,0.1838627803432289,-933.0,-8068.01,0,0,0,0,0,12132.0,7055.0,0.5815199472469502,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
BOMBOM MORANGUETE 13G 160UN,2021,5,0,0,11643.0,2.0,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,18650.0,19583.0,12447.99,12132.0,12132.0,12132.0,16625.333333333332,4339.9719277125905,11643.0,19583.0,14891.197999999999,3881.8432369198017,11643.0,19583.0,14891.197999999999,3881.8432369198017,11643.0,19583.0,14891.197999999999,3881.8432369198017,11643.0,19583.0,14468.124375,14441.5433152853,13755.446986450053,0.26104570902112784,0.2606803856157041,4339.9719277125905,3881.8432369198017,4,0.07272727272727272,16,64,-0.375710455764075,0.04994396373344323,-7007.0,-6074.0,0,0,0,0,0,12132.0,7055.0,0.5815199472469502,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
BOMBOM MORANGUETE 13G 160UN,2021,6,0,0,21626.99,2.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,11643.0,18650.0,19583.0,12447.99,12132.0,12132.0,17306.663333333334,5125.761321992406,11643.0,21626.99,16013.83,4429.083559536894,11643.0,21626.99,16013.83,4429.083559536894,11643.0,21626.99,16013.83,4429.083559536894,11643.0,21626.99,18047.557187500002,16494.528082346642,14966.453603919277,0.2961727066198822,0.2765786547963163,5125.761321992406,4429.083559536894,5,0.09090909090909091,25,125,0.857510091900713,0.14471875733142323,9983.990000000002,16990.99,0,0,0,1,0,12132.0,7055.0,0.5815199472469502,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
BOMBOM MORANGUETE 13G 160UN,2021,7,0,1,30517.0,3.0,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,21626.99,11643.0,18650.0,19583.0,12132.0,12132.0,21262.33,9442.282652341011,11643.0,30517.0,19077.996666666666,6885.093138369783,11643.0,30517.0,18085.711428571427,6811.4731318720105,11643.0,30517.0,18085.711428571427,6811.4731318720105,11643.0,30517.0,24282.27859375,20500.9486302476,17358.845357162467,0.44408503923798615,0.3608918304509148,9442.282652341011,6885.093138369783,6,0.10909090909090909,36,216,0.4110609012164892,0.29762017911770905,8890.009999999998,-1093.9800000000032,1,0,0,1,0,12132.0,7055.0,0.5815199472469502,0,0,0,7,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
BOMBOM MORANGUETE 13G 160UN,2021,8,0,1,30688.0,3.0,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,30517.0,21626.99,11643.0,18650.0,12447.99,12132.0,27610.663333333334,5182.71841508231,21626.99,30688.0,22117.998333333333,7381.166111395724,11643.0,30688.0,19660.9975,7721.421639459094,11643.0,30688.0,19660.9975,7721.421639459094,11643.0,30688.0,27485.139296875,23411.534735891142,19409.484532983624,0.1877071315713522,0.3337176357533133,5182.71841508231,7381.166111395724,7,0.12727272727272726,49,343,0.005603434151456588,0.42472480908955296,171.0,-8719.009999999998,1,0,0,1,0,12132.0,7055.0,0.5815199472469502,0,0,0,8,0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
BOMBOM MORANGUETE 13G 160UN,2021,9,0,1,40867.0,3.0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,30688.0,30517.0,21626.99,11643.0,19583.0,12132.0,34024.0,5926.828578590743,30517.0,40867.0,25665.331666666665,10411.58460658207,11643.0,40867.0,22017.219999999998,10106.130235806138,11643.0,40867.0,22017.219999999998,10106.130235806138,11643.0,40867.0,34176.0696484375,28398.81052563653,22710.64075867845,0.17419552605780458,0.4056672534687838,5926.828578590743,10411.58460658207,8,0.14545454545454545,64,512,0.33169316996871734,0.2494525017788877,10179.0,10008.0,1,0,0,0,0,12132.0,7055.0,0.5815199472469502,0,0,0,9,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
BOMBOM MORANGUETE 13G 160UN,2021,10,0,1,30335.0,4.0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,40867.0,30688.0,30517.0,21626.99,18650.0,12132.0,33963.333333333336,5981.3553926625455,30335.0,40867.0,27612.831666666665,9918.062880926735,11643.0,40867.0,24039.775555555552,9693.5691159579,11643.0,40867.0,22848.998,9884.543852006527,11643.0,40867.0,32255.53482421875,28952.00751831181,23883.619103497153,0.1761121422905843,0.3591831145988372,5981.3553926625455,9918.062880926735,9,0.16363636363636364,81,729,-0.25771404800939635,0.026527518703592528,-10532.0,-20711.0,1,0,0,0,0,12132.0,7055.0,0.5815199472469502,0,0,0,10,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
